t_sec,collisions_per_sec
1.038,2584.831
2.042,2904.269
3.055,2446.791
4.067,2146.486
5.067,1918.139
6.078,1835.036
7.082,1780.713
8.088,1642.600
9.098,1725.586
10.113,1704.844
11.132,1896.537
12.142,1902.969
13.161,1772.618
14.171,1618.029
15.181,1800.806
16.183,1679.843
17.190,1686.816
18.201,1451.963
19.214,1613.998
20.215,1616.820
21.216,1685.979
22.231,1504.350
23.237,1553.090
24.241,1699.651
25.246,1589.765
26.257,1504.969
27.260,1665.282
28.280,1605.827
29.287,1514.352
30.291,1426.715
31.308,1573.890
32.327,1750.932
33.334,1639.569
34.341,1580.956
35.349,1691.544
36.357,1714.115
37.368,1734.790
38.375,1839.554
39.387,1614.948
40.403,1559.781
41.403,1601.226
42.415,1646.961
43.431,1566.590
44.433,1606.739
45.441,1774.695
46.446,1659.754
47.458,1769.767
48.469,1639.885
49.479,1599.203
50.494,1502.365
51.502,1589.863
52.515,1582.801
53.517,1553.969
54.524,1463.130
55.540,1718.524
56.549,1822.097
57.552,1726.985
58.570,1581.903
59.578,1569.394
60.581,1659.148
61.582,1682.180
62.587,1774.529
63.592,1912.135
64.594,1712.305
65.595,1566.747
66.613,1526.498
67.615,1525.653
68.624,1534.023
69.624,1618.605
70.640,1563.446
71.657,1396.146
72.666,1606.467
73.673,1618.952
74.692,1538.920
75.713,1551.453
76.715,1654.510
77.729,1546.223
78.736,1534.828
79.746,1728.645
80.749,1659.096
81.769,1481.873
82.771,1605.346
83.775,1545.664
84.794,1524.472
85.798,1590.776
86.809,1583.329
87.814,1589.603
88.825,1599.717
89.831,1592.714
90.846,1534.075
91.859,1796.421
92.866,1706.959
93.869,1615.984
94.871,1638.498
95.875,1564.801
96.892,1575.947
97.906,1626.716
98.913,1476.629
99.923,1245.378
100.940,1383.605
101.949,1505.522
102.953,1392.389
103.964,1374.243
104.983,1591.813
105.983,1455.193
106.986,1489.310
107.992,1338.139
109.011,1491.630
110.012,1501.134
111.013,1588.168
112.027,1636.739
113.045,1530.009
114.050,1438.469
115.052,1379.215
116.056,1490.198
117.074,1630.687
118.081,1610.901
119.097,1543.659
120.099,1588.724
121.119,1653.657
122.134,1575.401
123.142,1553.101
124.156,1507.037
125.159,1546.397
126.166,1498.135
127.172,1392.002
128.182,1344.558
129.189,1413.947
130.199,1459.643
131.217,1483.841
132.237,1646.409
133.241,1455.929
134.245,1385.757
135.249,1476.701
136.263,1225.244
137.280,1423.727
138.287,1383.597
139.299,1492.288
140.312,1506.445
141.322,1434.254
142.334,1449.841
143.348,1552.967
144.368,1576.168
145.374,1383.866
146.385,1417.909
147.400,1430.440
148.407,1493.171
149.416,1625.716
150.429,1595.625
151.433,1358.853
152.442,1154.218
153.448,1349.428
154.453,1295.495
155.470,1399.334
156.474,1465.623
157.490,1455.801
158.495,1319.602
159.514,1291.326
160.515,1351.294
161.515,1301.487
162.521,1304.651
163.532,1383.728
164.549,1471.654
165.568,1429.380
166.571,1428.305
167.571,1550.283
168.572,1429.778
169.589,1301.394
170.608,1315.064
171.613,1399.378
172.619,1366.829
173.632,1391.732
174.636,1414.515
175.649,1461.066
176.652,1510.158
177.671,1387.792
178.678,1445.731
179.686,1504.277
180.694,1419.820
181.704,1426.966
182.721,1372.928
183.724,1533.963
184.742,1526.732
185.753,1526.528
186.755,1490.033
187.768,1596.208
188.778,1618.969
189.782,1441.868
190.791,1491.509
191.811,1390.603
192.818,1545.460
193.835,1557.479
194.850,1456.950
195.855,1460.396
196.875,1560.157
197.891,1502.292
198.893,1499.708
199.897,1563.161
200.901,1588.434
201.912,1522.544
202.916,1516.319
203.921,1608.647
204.922,1579.483
205.922,1489.777
206.932,1655.361
207.953,1599.099
208.972,1428.660
209.980,1594.428
210.997,1612.312
